公司代號,year_quarter,預測季均價,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,EPS,營收成長_年季平均(%),毛利率,營益率,業外稅前率,SHAP_營業收入,SHAP_營業毛利（毛損）,SHAP_營業利益（損失）,SHAP_營業外收入及支出,SHAP_稅前淨利（淨損）,SHAP_EPS,SHAP_營收成長_年季平均(%),SHAP_毛利率,SHAP_營益率,SHAP_業外稅前率
2504,2019Q4,,,,,,,,,,,,,,,,,,,,,
1722,2018Q3,,,,,,,,,,,,,,,,,,,,,
2489,2018Q3,,,,,,,,,,,,,,,,,,,,,
6451,2018Q3,,,,,,,,,,,,,,,,,,,,,
9939,2019Q2,,,,,,,,,,,,,,,,,,,,,
6136,2018Q3,,,,,,,,,,,,,,,,,,,,,
1339,2017Q3,,,,,,,,,,,,,,,,,,,,,
2458,2018Q3,,,,,,,,,,,,,,,,,,,,,
1513,2017Q1,14.437708,7587368.0,848719.0,-3629.0,196558.0,192929.0,0.18,-3.396894773678422,0.1119,-0.0005,1.0188,-2.1052178222313525,-2.873960629329085,-0.24794098507612944,-2.3398599276691674,3.0829750556871294,-41.23094349324703,-1.5627409549988807,-16.169991170577706,-7.889920353423804,-2.9484476369712502
2030,2019Q1,,,,,,,,,,,,,,,,,,,,,
3528,2019Q2,,,,,,,,,,,,,,,,,,,,,
3062,2017Q1,171.35214,4559761.0,1770853.0,836755.0,-34576.0,802179.0,7.19,10.328957911452338,0.3884,0.1835,-0.0431,-2.8638353461027144,1.6404206688702105,7.769906800948084,-0.9511142945289612,-0.06532914813607932,63.52060455946252,7.69804527092725,-0.2472262303903699,4.426651492370293,1.7002716925740242
4306,2018Q4,,,,,,,,,,,,,,,,,,,,,
2701,2018Q1,,,,,,,,,,,,,,,,,,,,,
2362,2019Q3,,,,,,,,,,,,,,,,,,,,,
1524,2018Q3,,,,,,,,,,,,,,,,,,,,,
2436,2018Q1,,,,,,,,,,,,,,,,,,,,,
9946,2017Q1,49.589355,17757581.0,1403963.0,911343.0,6247.0,917590.0,1.71,41.11376383070052,0.0791,0.0513,0.0068,2.5844999113027005,-1.257014548815787,3.2350413366407156,-0.22507381793111564,-1.8682082606106996,-22.186166936256924,4.738390500415116,-20.13406746394932,-4.604589150492102,0.5827911080420017
2399,2018Q1,,,,,,,,,,,,,,,,,,,,,
4934,2017Q1,114.639114,1994640.0,585102.0,117399.0,5989564.0,6106963.0,11.04,-15.119631830594294,0.2933,0.0589,0.9808,-5.012202078774571,-7.517317094430328,-2.0991930713132025,-14.748134332038463,-16.42433265659958,106.23001088218763,-4.212881810609251,-11.759312534295022,-2.3682502791006117,-16.172977309832348
8341,2017Q4,,,,,,,,,,,,,,,,,,,,,
1612,2018Q2,,,,,,,,,,,,,,,,,,,,,
3528,2019Q3,,,,,,,,,,,,,,,,,,,,,
3661,2018Q3,,,,,,,,,,,,,,,,,,,,,
1732,2017Q1,27.411636,2163049.0,562116.0,80489.0,-41685.0,38804.0,-0.09,50.09154800757002,0.2599,0.0372,-1.0742,-2.0008846807479856,-2.963473062068224,-0.2771978475525975,-0.18399148318916558,3.412903227955103,-48.81803636610974,5.051811448726803,-14.301749530695378,-5.328744303938001,4.097243962138891
6243,2018Q2,,,,,,,,,,,,,,,,,,,,,
2430,2017Q2,,,,,,,,,,,,,,,,,,,,,
3167,2018Q4,,,,,,,,,,,,,,,,,,,,,
2402,2018Q3,,,,,,,,,,,,,,,,,,,,,
2484,2018Q1,,,,,,,,,,,,,,,,,,,,,
4555,2017Q3,,,,,,,,,,,,,,,,,,,,,
2405,2017Q4,,,,,,,,,,,,,,,,,,,,,
8454,2019Q2,,,,,,,,,,,,,,,,,,,,,
3432,2018Q1,,,,,,,,,,,,,,,,,,,,,
2109,2016Q3,22.938211,11219207.0,1396742.0,661712.0,-484945.0,176767.0,0.31,-16.155253309661354,0.1245,0.059,-2.7434,0.6505445709824562,-2.1943939860910175,2.750438993163407,0.16848882593214512,2.668135085813701,-49.82752793448046,-1.3503604930453001,-18.410236940160395,-5.694562141802162,5.453931465819478
3209,2019Q4,,,,,,,,,,,,,,,,,,,,,
6235,2017Q1,17.551579,1851479.0,164111.0,-81130.0,86617.0,5487.0,0.0,16.387488080843827,0.0886,-0.0438,15.7859,-2.4324277328327297,-3.128222065791488,-0.21204448498785497,-1.9209940266609191,3.282761743720621,-41.66612460362259,2.8670845332928003,-17.567616538181902,-7.629072579387575,-2.765525401094928
3545,2019Q1,,,,,,,,,,,,,,,,,,,,,
1583,2018Q1,,,,,,,,,,,,,,,,,,,,,
2356,2016Q4,72.09792,2924985.0,587236.0,347863.0,17349.0,365212.0,3.25,8.584737873019156,0.2008,0.1189,0.0475,-2.409971158057451,-3.232796406932175,2.2116666389629245,-0.5523081598430872,2.697580561675131,-5.330325561668724,4.865928496029228,-15.67008128501475,-0.3848267367109656,1.1792738684266806
2069,2019Q1,,,,,,,,,,,,,,,,,,,,,
1905,2017Q1,12.753973,4676.0,-153.0,-9993.0,-2012.0,-12005.0,-0.24,-84.08179012345678,-0.0327,-2.1371,0.1676,-3.7826351357623933,-4.108829169943928,-0.3149374456703663,-0.14388113617897033,3.984835292585194,-39.45004529094324,-5.895090185645968,-16.751045114398003,-9.60108389729634,0.09293034522794187
