公司代號,公司名稱,year_quarter,產業別,實際股價,預測股價,誤差,誤差率(%)
1539,巨庭,2017Q2,電機機械,18.05,34.95745833333335,16.90745833333335,93.67
1305,華夏,2018Q4,塑膠工業,20.02,38.71486666666667,18.694866666666673,93.38
2607,榮運,2019Q4,航運業,13.38,25.846474999999987,12.466474999999987,93.17
2495,普安,2017Q2,電腦及週邊設備業,14.133333333333333,27.297033333333328,13.163699999999995,93.14
1235,興泰,2018Q4,食品工業,27.7675,53.596483333333374,25.828983333333376,93.02
2538,基泰,2017Q2,建材營造,10.33,19.907825000000006,9.577825000000006,92.72
4934,太極,2018Q2,光電業,4.78,9.198149999999998,4.418149999999998,92.43
1709,和益,2018Q3,化學工業,15.39,29.563291666666665,14.173291666666664,92.09
6230,尼得科超眾,2016Q4,,99.09,189.48435,90.39435,91.22
2607,榮運,2019Q2,航運業,13.91,26.59476666666667,12.684766666666668,91.19
3023,信邦,2018Q3,電子零組件業,84.06,160.68857499999993,76.62857499999993,91.16
2476,鉅祥,2019Q3,電子零組件業,22.2,42.412183333333324,20.212183333333325,91.05
1216,統一,2017Q4,食品工業,64.8,123.49329999999995,58.69329999999995,90.58
1312,國喬,2017Q4,塑膠工業,29.525,56.115108333333346,26.590108333333347,90.06
1517,利奇,2019Q1,電機機械,9.323333333333332,17.715666666666667,8.392333333333335,90.01
1454,台富,2019Q1,紡織纖維,7.93,15.024899999999993,7.094899999999994,89.47
8213,志超,2019Q3,電子零組件業,34.45333333333333,65.21376666666664,30.76043333333331,89.28
2471,資通,2018Q2,資訊服務業,14.835,28.026725000000006,13.191725000000005,88.92
2543,皇昌,2016Q3,,8.97,16.933624999999992,7.9636249999999915,88.78
9912,偉聯,2018Q1,電腦及週邊設備業,10.0,18.807641666666658,8.807641666666658,88.08
2488,漢平,2017Q3,其他電子業,30.32,57.021116666666664,26.701116666666664,88.06
3550,聯穎,2019Q2,電子零組件業,10.8,20.297441666666668,9.497441666666667,87.94
8940,新天地,2017Q2,觀光餐旅,13.933333333333332,26.163633333333333,12.230300000000002,87.78
1310,台苯,2018Q2,塑膠工業,23.595,44.30321666666666,20.708216666666658,87.77
9911,櫻花,2019Q3,居家生活,45.290000000000006,84.96609999999998,39.67609999999998,87.6
9902,台火,2018Q1,其他,9.32,17.48289166666668,8.162891666666681,87.58
1339,昭輝,2017Q3,汽車工業,42.93,80.05879166666666,37.128791666666665,86.49
1709,和益,2017Q3,化學工業,18.94,35.277475,16.337475,86.26
2017,官田鋼,2018Q1,鋼鐵工業,9.8025,18.13309166666666,8.330591666666662,84.98
8271,宇瞻,2018Q3,半導體業,32.04,59.25913333333336,27.21913333333336,84.95
3029,零壹,2017Q3,資訊服務業,19.56,36.13356666666669,16.57356666666669,84.73
1711,永光,2019Q3,化學工業,15.413333333333332,28.35369999999999,12.940366666666657,83.96
1304,台聚,2018Q3,塑膠工業,11.78,21.667199999999994,9.887199999999995,83.93
2505,國揚,2019Q4,建材營造,16.69,30.665083333333325,13.975083333333323,83.73
2910,統領,2018Q4,貿易百貨,27.32,50.164024999999974,22.844024999999974,83.62
1444,力麗,2017Q1,紡織纖維,8.04,14.754199999999996,6.714199999999996,83.51
2472,立隆電,2016Q3,,39.68,72.80490000000003,33.12490000000003,83.48
8374,羅昇,2018Q2,電機機械,21.18,38.75893333333333,17.57893333333333,83.0
5534,長虹,2019Q2,建材營造,78.41000000000001,143.44145,65.03144999999999,82.94
2442,新美齊,2018Q3,建材營造,14.61,26.637666666666668,12.027666666666669,82.32
2472,立隆電,2018Q3,電子零組件業,39.7,72.30555833333335,32.60555833333335,82.13
