公司代號,公司名稱,日期,季底月均價,日期_西元,year_quarter
6214,精誠SYSTEX,107/06/06,61.38,2018-06-06,2018Q2
2312,金寶Kinpo Electronics,107/01/19,10.04,2018-01-19,2018Q1
2317,鴻海Hon Hai,107/01/23,70.95,2018-01-23,2018Q1
2354,鴻準FoxconnTechnology,107/01/19,61.09,2018-01-19,2018Q1
2359,所羅門Solomon,107/01/04,18.95,2018-01-04,2018Q1
2360,致茂Chroma,107/08/02,122.16,2018-08-02,2018Q3
2373,震旦行Aurora,107/08/28,94.43,2018-08-28,2018Q3
2390,云辰Everspring,107/09/19,10.97,2018-09-19,2018Q3
2404,漢唐UIS,107/12/21,88.36,2018-12-21,2018Q4
2423,固緯GW,107/05/31,22.92,2018-05-31,2018Q2
2433,互盛電ASC,107/04/13,42.01,2018-04-13,2018Q2
2461,光群雷K Laser,107/01/24,13.49,2018-01-24,2018Q1
2464,盟立Mirle,107/01/26,43.37,2018-01-26,2018Q1
2474,可成Catcher,107/08/01,236.38,2018-08-01,2018Q3
2477,美隆電Meiloon,107/02/01,20.43,2018-02-01,2018Q1
2482,連宇UIC,107/04/03,11.19,2018-04-03,2018Q2
2488,漢平Hanpin,107/08/22,30.05,2018-08-22,2018Q3
2495,普安Infortrend,107/01/16,11.63,2018-01-16,2018Q1
2497,怡利電E-LEAD,107/01/02,15.47,2018-01-02,2018Q1
3018,同開TUNG KAI,107/01/09,34.63,2018-01-09,2018Q1
3030,德律TRI,107/06/13,47.03,2018-06-13,2018Q2
3043,科風PCM,107/03/01,2.18,2018-03-01,2018Q1
3305,昇貿科技SHENMAO,107/01/16,19.46,2018-01-16,2018Q1
3450,聯鈞ELASER,107/01/16,65.72,2018-01-16,2018Q1
3518,柏騰PT TECH.,107/01/17,16.71,2018-01-17,2018Q1
3617,碩天CyberPower,107/01/22,78.74,2018-01-22,2018Q1
3665,貿聯-KYBHI,107/03/14,204.3,2018-03-14,2018Q1
5225,東科-KYEASTECH,107/12/03,27.74,2018-12-03,2018Q4
6139,亞翔L & K,107/04/13,26.73,2018-04-13,2018Q2
6192,巨路LUMAX,107/09/26,64.48,2018-09-26,2018Q3
6196,帆宣MIC,107/05/16,51.51,2018-05-16,2018Q2
6201,亞弘電YAHORNG,107/08/02,29.51,2018-08-02,2018Q3
6215,和椿Aurotek,107/01/30,14.85,2018-01-30,2018Q1
6283,淳安電子SOE,107/07/16,37.17,2018-07-16,2018Q3
6409,旭隼VOLTRONIC,107/04/09,526.17,2018-04-09,2018Q2
6558,興能高SYNST,107/12/25,41.76,2018-12-25,2018Q4
8021,尖點Topoint,107/06/07,18.64,2018-06-07,2018Q2
8201,無敵科技BESTA,107/03/16,12.75,2018-03-16,2018Q1
1262,綠悅-KYGreen Seal,107/01/09,36.83,2018-01-09,2018Q1
1435,中福國際C.F.CORP.,107/04/02,5.51,2018-04-02,2018Q2
1437,勤益控GTM,107/06/07,17.93,2018-06-07,2018Q2
2062,橋椿金屬SSM,107/08/06,33.85,2018-08-06,2018Q3
2348,海悅Hiyes,107/03/29,45.01,2018-03-29,2018Q1
2358,廷鑫TS,107/06/11,18.17,2018-06-11,2018Q2
2443,新利虹LEADDATA LTD,107/06/07,4.79,2018-06-07,2018Q2
2514,龍邦國際LONG BON,107/12/12,18.21,2018-12-12,2018Q4
2904,匯僑POC,107/07/11,19.81,2018-07-11,2018Q3
3040,遠見GV,107/03/20,32.18,2018-03-20,2018Q1
4536,拓凱TOPKEY,107/12/28,98.34,2018-12-28,2018Q4
5284,jpp-KYjpp,107/01/12,53.37,2018-01-12,2018Q1
5871,中租-KYChailease,107/06/11,97.33,2018-06-11,2018Q2
6184,大豐電DAH FUNG CATV,107/04/02,34.02,2018-04-02,2018Q2
6464,台數科top MSO,107/06/26,116.32,2018-06-26,2018Q2
6504,南六NAN LIU,107/06/15,165.15,2018-06-15,2018Q2
6581,鋼聯TSU,107/02/01,86.66,2018-02-01,2018Q1
6625,必應Binlive,107/02/07,56.2,2018-02-07,2018Q1
6641,基士德-KYGSD-KY,107/09/21,65.13,2018-09-21,2018Q3
6655,科定KD,107/11/30,56.86,2018-11-30,2018Q4
6670,復盛應用FSP,107/12/22,166.9,2018-12-22,2018Q4
6671,三能-KYSan Neng-KY,107/12/11,47.27,2018-12-11,2018Q4
8033,雷虎TT,107/06/11,8.36,2018-06-11,2018Q2
8341,日友SF,107/08/10,211.74,2018-08-10,2018Q3
8404,百和興業-KYPAIHO SHIH,107/01/11,42.0,2018-01-11,2018Q1
8411,福貞-KYKINGCAN,107/01/19,12.5,2018-01-19,2018Q1
8422,可寧衛Cleanaway,107/04/02,167.69,2018-04-02,2018Q2
8427,基勝-KYKEYSHEEN,107/01/04,39.46,2018-01-04,2018Q1
8442,威宏-KYWW,107/01/24,59.88,2018-01-24,2018Q1
8463,潤泰精材RTM,107/06/12,27.49,2018-06-12,2018Q2
8464,億豐Nien Made,107/01/02,240.44,2018-01-02,2018Q1
8466,美(吉吉)-KYM.J.,107/01/04,54.24,2018-01-04,2018Q1
8467,波力-KYBONNY WORLDWIDE LIMITED,107/12/26,36.6,2018-12-26,2018Q4
8473,山林水FOREST WATER,107/04/09,56.24,2018-04-09,2018Q2
8478,東哥遊艇OceanAlexander,107/01/08,41.46,2018-01-08,2018Q1
8480,泰昇-KYTaisun-KY,107/04/02,123.95,2018-04-02,2018Q2
