代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
2913,農林,15.45,+0.05,+0.32,-1.45,0.57,-0.13,-0.13,-14.9,-0.22,-0.25,-0.14,-1.07,-0.16,-0.32,-0.29,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,
2939,永邑-KY,28.85,+1.7,+6.26,0.13,0.35,0.31,0.48,-0.21,0.07,0.46,0.42,-0.23,0.41,-0.74,-0.1,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
3011,今皓,12.6,-0.15,-1.18,0.04,0.04,0.32,0.33,0.03,0.01,0.21,0.04,-0.55,0.01,0.25,-0.01,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,
3018,隆銘綠能,21.85,+0.4,+1.86,-0.09,-0.11,-0.08,-0.09,-0.02,-0.05,-0.08,-0.08,0.11,-0.51,0.11,-0.41,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
3041,揚智,23.55,-0.15,-0.63,-0.5,-0.06,-0.27,-0.18,-0.11,-0.17,-0.07,-0.2,-5.18,-0.26,-0.16,0.46,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
3048,益登,23.8,0,0,-3.74,-0.23,-0.95,-2.04,-3.77,-3.84,-3.57,-3.38,-3.93,-2.28,-3.92,-12.3,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,
3049,精金,6.88,-0.08,-1.15,0.24,0.08,0.89,0.19,-0.05,0.22,0.59,0.17,0.2,0.56,0.59,-0.81,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
3054,立萬利,22.8,+0.8,+3.64,-0.02,-0.09,-0.68,-0.02,-0.02,0.24,0,-0.04,0.25,-0.05,0.14,-0.12,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
3055,蔚華科,48.05,-0.35,-0.72,0.71,-0.14,-0.24,2.31,5.4,2.08,-0.25,-0.74,0.37,-1,0.39,0.06,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
3057,喬鼎,8.18,-0.09,-1.09,0.01,0.09,0.04,0.07,0.01,0,0.05,0.09,-0.32,0.09,0.05,-0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
3058,立德,10.25,-0.15,-1.44,0.05,-0.38,-0.04,-0.17,0.11,0.41,0.24,0.05,0.44,-0.49,0.59,0.19,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,
3092,鴻碩,19.25,-0.5,-2.53,0.03,-0.05,0.03,-0.05,0.02,0.08,-0.02,0.08,-0.24,0.07,0.19,0.13,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
