代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),季度,16Q2 EPS (元),16Q3 EPS (元),16Q4 EPS (元),17Q1 EPS (元),17Q2 EPS (元),17Q3 EPS (元),17Q4 EPS (元),18Q1 EPS (元),18Q2 EPS (元),18Q3 EPS (元),18Q4 EPS (元),19Q1 EPS (元)
代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),2019Q1,,,,,,,,,,,,
1473,台南,28.3,-0.5,-1.74,0.6,0.77,0.41,0.61,0.27,0.53,0.42,0.85,0.34,1.44,0.61,0.49,0.47,2019Q1,,,,,,,,,,,,
1474,弘裕,12.15,-0.15,-1.22,0.09,0.26,0.18,0.2,-0.05,-0.15,-0.18,-0.27,0.26,0.62,0.17,-0.01,0.05,2019Q1,,,,,,,,,,,,
1475,業旺,40.45,-1.75,-4.15,2.39,2.63,3.45,4.3,1.44,2.52,3.36,2.33,1.4,1.74,2.27,1.21,2,2019Q1,,,,,,,,,,,,
1476,儒鴻,396.5,+0.5,+0.13,5.65,6.53,7.42,7.91,2.89,3.01,5.08,5.68,5.1,5.19,6.32,6.47,6.22,2019Q1,,,,,,,,,,,,
1477,聚陽,268.5,-10.5,-3.76,3.99,3.69,3.03,4.59,3.21,3.92,3.33,5.47,3.79,4.63,3.55,4.74,3.92,2019Q1,,,,,,,,,,,,
1503,士電,141,-2.5,-1.74,1.18,1.38,0.88,1.09,0.51,1.52,1.14,1.28,0.56,2.27,1.36,1.35,0.84,2019Q1,,,,,,,,,,,,
1504,東元,48.9,-0.3,-0.61,0.6,0.17,0.48,0.51,0.48,0.78,1.01,0.47,0.52,0.55,0.78,0.84,0.56,2019Q1,,,,,,,,,,,,
1506,正道,12.3,-0.25,-1.99,0.07,0.06,0.08,0.17,0.1,0.09,0.08,0.11,0.02,0.04,0.02,0.04,0.04,2019Q1,,,,,,,,,,,,
1513,中興電,126,-3,-2.33,1.32,1.2,1.23,1.17,1.61,1.56,-1.42,1.51,1.62,1.93,1.82,1.86,1.72,2019Q1,,,,,,,,,,,,
1514,亞力,92,-1.5,-1.6,0.7,0.57,0.66,0.53,0.45,0.6,0.68,0.66,1.18,0.89,0.77,0.57,0.86,2019Q1,,,,,,,,,,,,
1515,力山,32.9,+2.95,+9.85,0.15,-0.28,-0.49,-0.24,-0.64,-0.42,0.05,1.16,0.91,1.34,0.53,0.05,-0.16,2019Q1,,,,,,,,,,,,
1519,華城,399,-19.5,-4.66,2.35,-0.03,0.89,0.52,1.83,0.79,2.08,2.73,4.27,2.29,3.11,4.28,5.45,2019Q1,,,,,,,,,,,,
1521,大億,26.05,-0.25,-0.95,0.24,0.27,0.29,0.72,-0.12,0.25,0.23,0.77,-0.7,0.42,0.46,-0.01,0.28,2019Q1,,,,,,,,,,,,
1522,堤維西,48,-2.3,-4.57,0.92,0.88,0.64,0.96,0.44,0.65,0.68,1.18,0.8,2.01,1.65,1.3,-0.2,2019Q1,,,,,,,,,,,,
1524,耿鼎,36.6,+0.95,+2.66,0.65,0.35,0.69,0.71,0.29,0.26,0.49,0.83,0.55,1.02,0.63,0.69,1.27,2019Q1,,,,,,,,,,,,
1525,江申,60.9,-1.5,-2.4,1.11,0.83,0.91,1.29,0.65,2.63,0.8,1.11,0.96,0.66,0.98,1.09,1.39,2019Q1,,,,,,,,,,,,
1527,鑽全,35.85,-0.4,-1.1,0.94,1.49,1.5,1.82,0.54,0.63,0.64,1.1,0.31,1.1,0.92,0.85,0.33,2019Q1,,,,,,,,,,,,
1530,亞崴,28.7,+1.3,+4.74,0.88,0.65,1.22,1.51,0.28,0.15,0.26,1.63,0.14,0.18,0.49,0.59,3.42,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),2019Q1,,,,,,,,,,,,
1531,高林股,11.9,-0.15,-1.24,0.13,0.34,0.43,0.36,-0.11,-0.14,-0.09,0.46,-0.16,0.07,0.12,0.06,0.22,2019Q1,,,,,,,,,,,,
1532,勤美,26.55,+0.05,+0.19,0.66,0.92,0.25,0.52,0.46,-0.06,0.86,1.02,0.76,1.34,2.29,0.08,-0.55,2019Q1,,,,,,,,,,,,
1535,中宇,54.2,-0.9,-1.63,1.06,0.87,1.65,1.04,0.65,0.93,1.17,0.96,1.44,0.97,0.98,0.92,1.2,2019Q1,,,,,,,,,,,,
1536,和大,58.1,+0.4,+0.69,0.34,0.1,0.67,1.17,0.3,0.3,0.77,0.4,-0.3,0.32,0.15,-0.3,0.53,2019Q1,,,,,,,,,,,,
1537,廣隆,139,+0.5,+0.36,2.49,3.16,3.23,3.09,1.29,1.48,2.06,2.21,1.68,2.54,3.29,3.39,2.52,2019Q1,,,,,,,,,,,,
1539,巨庭,18.6,-0.2,-1.06,0.7,1.5,3.06,1.73,-0.29,-0.05,0.41,0.58,0.03,0.64,0.41,0.03,0.33,2019Q1,,,,,,,,,,,,
1540,喬福,28,-0.8,-2.78,0.39,0.39,0.33,0.59,-0.03,0.14,0.54,0.39,0.22,0.66,0.82,0.13,0.5,2019Q1,,,,,,,,,,,,
1541,錩泰,26,-0.5,-1.89,0.5,2.2,1.33,1.24,-1.32,0.4,-0.36,0.94,0.49,0.76,0.39,-0.21,0.13,2019Q1,,,,,,,,,,,,
1558,伸興,97.8,-0.1,-0.1,1.56,2.63,3.37,2.04,0.07,0.16,1.4,1.68,0.57,1.42,2.06,2.04,1.29,2019Q1,,,,,,,,,,,,
1560,中砂,194.5,-8,-3.95,1.81,2.2,2.72,2.43,1.37,1.24,1.54,2.02,1.11,1.77,1.75,1.96,1.64,2019Q1,,,,,,,,,,,,
1563,巧新,59.1,+0.4,+0.68,0.83,,1.73,0.99,0.17,0.63,0.82,0.71,0.74,1.17,0.72,0.79,0.67,2019Q1,,,,,,,,,,,,
1568,倉佑,23.45,-0.75,-3.1,0.49,0.44,0.44,0.47,0.27,0.3,0.52,2.21,-0.36,0.77,0.27,0.28,0.27,2019Q1,,,,,,,,,,,,
1582,信錦,76.5,-2,-2.55,1.28,0.25,1.22,1.31,0.23,0.3,1.38,2.03,1.46,1.73,2.32,1.52,1.58,2019Q1,,,,,,,,,,,,
