代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
3625,西勝,櫃,04/17,,13.45,-0.05,-0.37,282,3.75,13.5,13.2,13.55,13.1,3.33,,2.44,+144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
3629,地心引力,櫃,04/17,,18,0,0,0,0,18,18,18,18,0,,8.18,+718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3630,新鉅科,櫃,04/17,,19.2,-0.4,-2.04,518,9.99,19.6,19.6,19.6,18.9,3.57,,1.56,+56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3631,晟楠,櫃,04/17,,27.95,-0.95,-3.29,152,4.28,28.9,29.15,29.15,27.95,4.15,,1.8,+80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3632,研勤,櫃,04/17,,11.95,0,0,1,0.02,11.95,11.95,11.95,11.95,0,,3.61,+261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3666,光耀,櫃,04/17,,31,+0.2,+0.65,29,0.9,30.8,30.8,31.1,30.5,1.95,,4.5,+350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3672,康聯訊,櫃,04/17,,17.5,+0.1,+0.57,3,0.06,17.4,17.9,17.9,17.5,2.3,,2.02,+102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3685,元創精密,櫃,04/17,,11.5,-0.25,-2.13,26,0.3,11.75,11.7,11.85,11.5,2.98,,1.14,+14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3691,碩禾,櫃,04/17,,58.2,+1,+1.75,150,8.66,57.2,57.2,58.4,56.7,2.97,,0.83,-16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707,漢磊,櫃,04/17,,32.6,-0.85,-2.54,975,31.9,33.45,33.5,33.6,32.1,4.48,,1.66,+66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710,連展投控,櫃,04/17,,8.83,+0.02,+0.23,590,5.14,8.81,8.72,8.98,8.59,4.43,,1.48,+48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3713,新晶投控,櫃,04/17,,18,-0.05,-0.28,45,0.8,18.05,17.85,18,17.75,1.39,,2.27,+127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120,友華,櫃,04/17,,44.2,+0.1,+0.23,7,0.33,44.1,44.1,44.85,44.1,1.7,,0.74,-25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121,優盛,櫃,04/17,,15.05,+1.35,+9.85,961,14.1,13.7,14.2,15.05,13.8,9.12,,0.87,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123,晟德,櫃,04/17,,35.05,+0.45,+1.3,699,24.3,34.6,34.5,35.2,34.2,2.89,,1.4,+39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4128,中天,櫃,04/17,,24.15,+1.5,+6.62,4408,105,22.65,22.7,24.35,22.45,8.39,,1.38,+37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131,浩泰,櫃,04/17,,32.25,-0.25,-0.77,7,0.23,32.5,32.2,32.25,32.2,0.15,,4.18,+318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4139,馬光-KY,櫃,04/17,,28.5,-0.3,-1.04,7,0.2,28.8,28.5,28.5,28.5,0,119,2.64,+164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4147,中裕,櫃,04/17,,79.4,+0.5,+0.63,692,55,78.9,79.2,80.5,78,3.17,,5.39,+439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
