公司代號,年度,月份,加權(A/B)平均價,year_quarter
1201,111,9,19.91,2022Q3
1201,111,12,19.07,2022Q4
1201,112,3,20.65,2023Q1
1201,112,6,20.34,2023Q2
1201,112,9,18.73,2023Q3
1201,112,12,19.27,2023Q4
1201,113,3,18.94,2024Q1
1201,113,6,18.86,2024Q2
1201,113,9,18.11,2024Q3
1201,113,12,18.0,2024Q4
1201,114,3,17.93,2025Q1
1201,114,6,,2025Q2
1201,114,9,,2025Q3
1201,114,12,,2025Q4
1203,105,3,22.18,2016Q1
1203,105,6,21.63,2016Q2
1203,105,9,21.64,2016Q3
1203,105,12,22.77,2016Q4
1203,106,3,23.89,2017Q1
1203,106,6,24.95,2017Q2
1203,106,9,23.84,2017Q3
1203,106,12,24.97,2017Q4
1203,107,3,26.58,2018Q1
1203,107,6,25.78,2018Q2
1203,107,9,25.37,2018Q3
1203,107,12,25.76,2018Q4
1203,108,3,26.09,2019Q1
1203,108,6,26.5,2019Q2
1203,108,9,26.6,2019Q3
1203,108,12,26.99,2019Q4
1203,109,3,25.89,2020Q1
1203,109,6,28.81,2020Q2
1203,109,9,32.65,2020Q3
1203,109,12,36.95,2020Q4
1203,110,3,37.42,2021Q1
1203,110,6,35.07,2021Q2
1203,110,9,32.61,2021Q3
1203,110,12,32.61,2021Q4
1203,111,3,33.2,2022Q1
1203,111,6,33.79,2022Q2
1203,111,9,32.21,2022Q3
1203,111,12,34.94,2022Q4
1203,112,3,37.5,2023Q1
1203,112,6,43.81,2023Q2
1203,112,9,41.09,2023Q3
1203,112,12,52.93,2023Q4
1203,113,3,51.92,2024Q1
1203,113,6,51.09,2024Q2
1203,113,9,49.94,2024Q3
1203,113,12,40.95,2024Q4
1203,114,3,37.61,2025Q1
1203,114,6,,2025Q2
1203,114,9,,2025Q3
1203,114,12,,2025Q4
1210,105,3,22.7,2016Q1
1210,105,6,28.42,2016Q2
1210,105,9,26.97,2016Q3
1210,105,12,28.72,2016Q4
1210,106,3,29.51,2017Q1
1210,106,6,32.15,2017Q2
1210,106,9,31.76,2017Q3
1210,106,12,33.13,2017Q4
1210,107,3,35.45,2018Q1
1210,107,6,40.29,2018Q2
1210,107,9,38.08,2018Q3
1210,107,12,33.69,2018Q4
1210,108,3,34.46,2019Q1
1210,108,6,39.73,2019Q2
1210,108,9,38.11,2019Q3
1210,108,12,42.82,2019Q4
1210,109,3,36.4,2020Q1
1210,109,6,43.39,2020Q2
1210,109,9,43.44,2020Q3
1210,109,12,48.2,2020Q4
1210,110,3,52.62,2021Q1
1210,110,6,59.0,2021Q2
1210,110,9,55.15,2021Q3
1210,110,12,52.6,2021Q4
1210,111,3,53.67,2022Q1
1210,111,6,47.89,2022Q2
1210,111,9,47.24,2022Q3
1210,111,12,45.09,2022Q4
1210,112,3,51.39,2023Q1
1210,112,6,52.67,2023Q2
1210,112,9,54.85,2023Q3
1210,112,12,57.74,2023Q4
1210,113,3,58.58,2024Q1
1210,113,6,56.94,2024Q2
1210,113,9,51.4,2024Q3
1210,113,12,52.2,2024Q4
1210,114,3,57.07,2025Q1
1210,114,6,,2025Q2
1210,114,9,,2025Q3
1210,114,12,,2025Q4
1213,105,3,17.09,2016Q1
1213,105,6,20.09,2016Q2
1213,105,9,15.43,2016Q3
1213,105,12,16.73,2016Q4
1213,106,3,17.92,2017Q1
1213,106,6,17.12,2017Q2
1213,106,9,15.32,2017Q3
1213,106,12,15.7,2017Q4
1213,107,3,15.37,2018Q1
1213,107,6,14.74,2018Q2
1213,107,9,12.49,2018Q3
1213,107,12,10.53,2018Q4
1213,108,3,11.07,2019Q1
1213,108,6,,2019Q2
1213,108,9,6.76,2019Q3
1213,108,12,6.05,2019Q4
1213,109,3,5.53,2020Q1
1213,109,6,6.01,2020Q2
1213,109,9,9.82,2020Q3
1213,109,12,7.58,2020Q4
1213,110,3,8.64,2021Q1
1213,110,6,8.9,2021Q2
1213,110,9,8.45,2021Q3
1213,110,12,8.19,2021Q4
1213,111,3,7.78,2022Q1
1213,111,6,7.99,2022Q2
1213,111,9,7.4,2022Q3
1213,111,12,7.15,2022Q4
1213,112,3,7.09,2023Q1
1213,112,6,6.64,2023Q2
1213,112,9,6.46,2023Q3
1213,112,12,7.25,2023Q4
1213,113,3,7.15,2024Q1
1213,113,6,7.2,2024Q2
1213,113,9,11.83,2024Q3
1213,113,12,16.02,2024Q4
1213,114,3,14.35,2025Q1
1213,114,6,,2025Q2
1213,114,9,,2025Q3
1213,114,12,,2025Q4
1215,105,3,25.05,2016Q1
1215,105,6,35.93,2016Q2
1215,105,9,38.19,2016Q3
1215,105,12,45.24,2016Q4
1215,106,3,53.21,2017Q1
1215,106,6,71.63,2017Q2
1215,106,9,65.6,2017Q3
1215,106,12,61.16,2017Q4
1215,107,3,68.02,2018Q1
1215,107,6,60.33,2018Q2
1215,107,9,51.38,2018Q3
1215,107,12,53.39,2018Q4
1215,108,3,52.17,2019Q1
1215,108,6,67.77,2019Q2
1215,108,9,66.0,2019Q3
1215,108,12,66.19,2019Q4
1215,109,3,55.84,2020Q1
1215,109,6,72.42,2020Q2
1215,109,9,66.99,2020Q3
1215,109,12,71.57,2020Q4
1215,110,3,74.89,2021Q1
1215,110,6,82.96,2021Q2
1215,110,9,80.42,2021Q3
1215,110,12,80.25,2021Q4
1215,111,3,82.47,2022Q1
1215,111,6,81.58,2022Q2
1215,111,9,79.88,2022Q3
1215,111,12,77.95,2022Q4
1215,112,3,84.41,2023Q1
1215,112,6,94.24,2023Q2
1215,112,9,97.78,2023Q3
1215,112,12,95.72,2023Q4
1215,113,3,103.11,2024Q1
1215,113,6,108.99,2024Q2
1215,113,9,98.07,2024Q3
1215,113,12,94.07,2024Q4
1215,114,3,102.14,2025Q1
1215,114,6,,2025Q2
1215,114,9,,2025Q3
1215,114,12,,2025Q4
1216,105,3,57.26,2016Q1
1216,105,6,63.3,2016Q2
1216,105,9,58.38,2016Q3
1216,105,12,53.99,2016Q4
1216,106,3,56.49,2017Q1
1216,106,6,59.72,2017Q2
1216,106,9,64.18,2017Q3
1216,106,12,64.8,2017Q4
1216,107,3,68.68,2018Q1
1216,107,6,75.13,2018Q2
1216,107,9,77.15,2018Q3
1216,107,12,69.6,2018Q4
1216,108,3,73.29,2019Q1
1216,108,6,81.46,2019Q2
1216,108,9,76.92,2019Q3
1216,108,12,73.02,2019Q4
1216,109,3,67.47,2020Q1
1216,109,6,72.57,2020Q2
1216,109,9,64.39,2020Q3
1216,109,12,65.95,2020Q4
1216,110,3,69.83,2021Q1
1216,110,6,73.34,2021Q2
1216,110,9,69.36,2021Q3
1216,110,12,68.14,2021Q4
1216,111,3,65.82,2022Q1
1216,111,6,65.16,2022Q2
1216,111,9,66.19,2022Q3
1216,111,12,65.5,2022Q4
1216,112,3,69.45,2023Q1
1216,112,6,76.5,2023Q2
1216,112,9,70.51,2023Q3
1216,112,12,74.0,2023Q4
1216,113,3,76.44,2024Q1
1216,113,6,80.91,2024Q2
1216,113,9,86.09,2024Q3
1216,113,12,83.78,2024Q4
1216,114,3,82.15,2025Q1
1216,114,6,,2025Q2
1216,114,9,,2025Q3
1216,114,12,,2025Q4
1217,105,3,8.31,2016Q1
1217,105,6,8.14,2016Q2
1217,105,9,7.87,2016Q3
1217,105,12,7.38,2016Q4
1217,106,3,7.58,2017Q1
1217,106,6,7.6,2017Q2
1217,106,9,7.88,2017Q3
1217,106,12,7.49,2017Q4
1217,107,3,7.4,2018Q1
1217,107,6,8.13,2018Q2
1217,107,9,7.59,2018Q3
1217,107,12,6.97,2018Q4
1217,108,3,7.2,2019Q1
1217,108,6,7.13,2019Q2
1217,108,9,7.02,2019Q3
1217,108,12,7.09,2019Q4
1217,109,3,7.19,2020Q1
1217,109,6,7.61,2020Q2
1217,109,9,7.82,2020Q3
1217,109,12,9.23,2020Q4
1217,110,3,9.0,2021Q1
1217,110,6,12.31,2021Q2
1217,110,9,10.63,2021Q3
1217,110,12,10.52,2021Q4
1217,111,3,11.27,2022Q1
1217,111,6,10.91,2022Q2
1217,111,9,9.54,2022Q3
1217,111,12,10.82,2022Q4
1217,112,3,11.59,2023Q1
1217,112,6,12.26,2023Q2
1217,112,9,12.57,2023Q3
1217,112,12,11.82,2023Q4
1217,113,3,11.77,2024Q1
1217,113,6,12.53,2024Q2
1217,113,9,12.33,2024Q3
1217,113,12,11.79,2024Q4
1217,114,3,11.97,2025Q1
1217,114,6,,2025Q2
1217,114,9,,2025Q3
1217,114,12,,2025Q4
1218,105,3,13.7,2016Q1
1218,105,6,13.22,2016Q2
1218,105,9,15.53,2016Q3
1218,105,12,15.36,2016Q4
1218,106,3,15.22,2017Q1
1218,106,6,16.81,2017Q2
1218,106,9,18.16,2017Q3
1218,106,12,17.02,2017Q4
1218,107,3,17.32,2018Q1
1218,107,6,20.06,2018Q2
1218,107,9,19.54,2018Q3
1218,107,12,17.85,2018Q4
1218,108,3,18.36,2019Q1
1218,108,6,21.16,2019Q2
1218,108,9,19.91,2019Q3
1218,108,12,22.28,2019Q4
1218,109,3,22.66,2020Q1
1218,109,6,24.08,2020Q2
1218,109,9,21.36,2020Q3
1218,109,12,26.19,2020Q4
1218,110,3,29.49,2021Q1
1218,110,6,29.25,2021Q2
1218,110,9,28.61,2021Q3
